Name;Name on Shirt;Nationality;Age;Height(cm);Weight(Kg);Stronger foot;Favorite side;Register Position;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Response/Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality/Tenacity;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency
NAKAYAMA;NAKAYAMA;Japao;25;179;73;R;R;CF; SS CF;1;87;50;78;82;80;89;84;77;75;73;71;71;72;84;79;73;72;89;88;79;86;50;82;7;7;5
INAMOTO;INAMOTO;Japao;25;181;75;R;R;CMF; DMF CMF LMF RMF AMF SS;1;76;73;83;90;83;82;83;78;81;79;78;80;78;77;85;73;75;72;76;78;80;45;80;6;6;5
OKUDERA;OKUDERA;Japao;25;177;77;L;R;LMF; LB RB CMF LMF RMF LWF RWF CF;2;80;64;80;85;88;82;85;83;84;80;75;81;75;81;85;72;76;75;83;82;82;50;85;6;6;5
EMERSON SHEIK;EMERSON;Qatar;25;171;69;R;R;SS; LMF RMF LWF RWF SS CF;1;84;43;78;87;89;84;92;86;87;82;81;80;82;84;82;78;82;76;78;85;82;50;82;8;6;5
FELLAINI;FELLAINI;Belgica;25;194;84;R;R;CMF; DMF CMF AMF SS;1;79;68;91;85;77;83;74;78;73;81;78;78;79;73;84;69;72;90;84;83;79;50;81;6;6;6
TONY DUNNE;DUNNE;Rep. da Irlanda;25;168;66;L;R;LB; LB;1;71;79;80;85;87;82;87;79;83;79;78;82;80;67;82;67;72;78;83;80;90;50;85;7;6;6
S. PORRINI;PORRINI;Italia;25;181;76;R;R;RB; CB RB RMF;1;65;78;80;86;80;82;80;73;75;74;73;79;79;68;81;70;73;82;85;75;87;50;79;6;5;5
ROBBIE KEANE;R. KEANE;Rep. da Irlanda;25;176;72;R;R;CF; LWF SS CF;1;86;42;78;85;85;86;87;85;85;78;75;77;75;87;82;72;82;75;76;87;87;45;82;7;6;6
DEMIAN DUFF;DUFF;Rep. da Irlanda;25;177;75;L;R;LWF; LMF RMF LWF RWF SS;1;81;55;80;85;89;81;89;86;85;78;80;79;82;78;83;75;82;68;74;84;79;40;82;6;6;6
CHRIS NICHOLL;C. NICHOLL;Irlanda do Norte;25;188;80;L;R;CB; CB;1;58;87;87;83;76;85;75;75;73;77;76;73;74;66;88;65;73;84;83;75;87;50;83;7;6;6
