id;Name;Name on Shirt;Teams;Nationality;Age;Height(cm);Weight(Kg);Stronger foot;Favorite side;Reg. Pos.;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency;P01 Classic No.10;P02 Anchor Man;P03 Trickster;P04 Darting Run;P05 Mazing Run;P06 Pinpoint Pass;P07 Early Cross;P08 Box to Box;P09 Cut Back Pass;P10 Incisive Run;P11 Long Ranger;P12 Enforcer;P13 Goal Poacher;P14 Dummy Runner;P15 Free Roaming;P16 Extra Attacker;P17 Chasing Back;P18 Talisman;P19 Fox in the Box;P20 Track Back;P21 Offensive Fullback;P22 180 Drag;P23 Flick(Sombrero);H01 Attack Minded;H02 Defence Master;S01 Weighted Pass;S02 Double Touch;S03 Run Around;S04 PK Taker;S05 1-touch play;S06 Outside Curve;S07 Lunging Tackle;S08 Diving Header;S09 Covering;S10 GK Long Throw;S11 Penalty Saver;S12 1-on-1 Keeper;S13 Long Throw;S14 Speed Merchant;S15 Shoulder Feint Skills;S16 Roulette Skills;S17 Flip Flap Skills;S18 Turning Skills;S19 Scissors Skills;S20 Flicking Skills;S21 Step On Skills;S22 Deft Touch Skills;S23 Super-Sub;S24 Long Range Drive;S25 Flip Flap Skills;S26 Jumping Volley;S27 Scissor Kick;S28 Knuckle Shot;S29 Heel Flick;Unnamed: 93
47045;ALLAN COLE;ALLAN COLE;;Ямайка;25;183;73;R;R;SS; AMF SS CF;1;81;60;83;82;80;81;80;88;83;83;80;81;78;80;81;81;79;73;74;90;78;40;82;7;5;5;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
47046;RENÉ PETIT;R. PETIT;;France;25;174;73;L;R;AMF; CMF AMF SS;1;88;54;82;84;81;81;84;90;82;92;82;87;79;83;82;78;78;76;79;91;83;45;93;7;6;6;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;
47047;ERALDO PECCI;PECCI;;Italy;25;175;75;R;R;AMF; DMF CMF AMF;1;81;60;81;82;78;78;83;83;78;89;82;90;84;77;85;78;83;72;75;87;81;40;92;7;5;5;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47048;EMIDIO ODDI;ODDI;;Italy;25;179;73;R;R;RB; RB;1;70;79;82;87;84;83;82;80;79;75;75;79;77;66;81;63;68;77;79;78;80;45;82;7;5;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47049;PATRICK MÜLLER;MULLER;;Switzerland;25;183;71;R;R;CB; CB LB RB DMF;1;60;84;82;83;76;84;76;74;71;76;72;79;74;64;81;61;65;81;84;77;84;50;83;6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47050;SANÉ;SANE;;Сенегал;19;184;72;R;R;CF; LWF RWF CF;2;65;34;80;72;80;67;68;75;78;66;65;69;68;68;78;68;65;68;80;70;65;50;64;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47053;ELEFTHERAKIS;ELEFTHERAKIS;;Greece;25;177;73;R;R;CMF; CMF LMF RMF AMF;1;80;66;76;84;83;80;83;90;83;85;81;84;83;78;83;74;77;69;73;86;78;40;84;6;7;6;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47054;A. KAMARAS;KAMARAS;;Greece;25;180;78;R;R;DMF; CB RB DMF CMF;1;74;73;83;85;76;81;78;73;78;75;79;78;80;75;82;82;78;81;84;75;85;50;84;6;7;7;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47055;J. CAYASSO;CAYASSO;;Costa Rica;24;176;73;R;R;RWF; CMF AMF LWF RWF SS CF;1;61;63;75;76;74;73;71;71;68;68;69;67;68;62;75;63;62;71;72;71;66;50;67;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47056;KO;KO;;Greece;29;178;72;R;R;CB; CB RB;1;61;61;77;75;74;72;73;68;65;66;64;67;66;61;72;61;60;77;76;69;62;50;65;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
